tot build ln
896244 12.9180 3.0000
605828 28.5230 3.0000
2643148 60.7710 3.0000
39250 3.9230 3.0000
476214 9.6380 3.0000
2239054 33.8530 3.0000
309854 13.8280 3.0000
378768 5.4890 3.0000
620068 7.6350 3.0000
224714 4.7500 3.0000
39116 4.4250 3.0000
226730 5.4280 3.0000
40026 1.3470 3.0000
50446 4.6720 3.0000
2054068 11.6500 3.0000
2673828 15.2590 3.0000
177714 6.9460 3.0000
41096 3.4070 3.0000
72726 5.6000 3.0000
108290 3.4220 3.0000
2658932 16.5940 3.0000
349886 15.7470 3.0000
163332 10.4410 3.0000
897904 15.4250 3.0000
32454 4.4630 3.0000
3080436 24.8150 3.0000
432766 2.9160 3.0000
493910 8.6530 3.0000
188674 5.3660 3.0000
247018 19.0660 3.0000
51234 6.3660 3.0000
484916 22.9210 3.0000
403280 7.3620 3.0000
2402240 22.9750 3.0000
173776 6.2460 3.0000
684748 10.6040 3.0000
31582 1.3680 3.0000
359658 2.3420 3.0000
323458 2.6140 3.0000
272738 13.0370 3.0000
799026 22.2100 3.0000
155670 1.7360 3.0000
27120 4.9120 3.0000
182434 8.4000 3.0000
65776 1.2860 3.0000
2336832 21.6050 3.0000
32228 5.9720 3.0000
79930 5.0410 3.0000
217566 1.9580 3.0000
42258 10.7790 3.0000
1269518 8.2240 3.0000
170528 5.7640 3.0000
90594 1.4800 3.0000
103502 7.0840 3.0000
1744562 26.0810 3.0000
79630 5.1140 3.0000
228018 4.6970 3.0000
3332478 13.3260 3.0000
1030674 23.4420 3.0000
25836 1.3420 3.0000
217006 10.0790 3.0000
36740 4.1680 3.0000
175798 6.2520 3.0000
23492 4.8330 3.0000
1428598 6.7070 3.0000
222198 9.0270 3.0000
347700 2.7720 3.0000
971044 9.3150 3.0000
95306 11.2760 3.0000
1877962 20.1920 3.0000
110292 4.9250 3.0000
198288 1.8710 3.0000
42098 4.4900 3.0000
140198 5.3430 3.0000
210228 13.6340 3.0000
148294 5.2280 3.0000
83682 4.6620 3.0000
69690 1.4890 3.0000
487236 2.9510 3.0000
104900 4.9600 3.0000
768638 38.9110 3.0000
917628 13.6580 3.0000
146316 5.1390 3.0000
31994 3.2710 3.0000
110354 7.4790 3.0000
2294466 17.6010 3.0000
1656566 24.8760 3.0000
1469792 6.5880 3.0000
257062 9.2430 3.0000
2201692 17.1950 3.0000
66084 3.5180 3.0000
1050184 16.6380 3.0000
159840 1.8130 3.0000
86692 1.5160 3.0000
49056 1.1940 3.0000
1386454 11.2450 3.0000
281438 2.2610 3.0000
736044 6.7970 3.0000
296482 15.7300 3.0000
487328 3.0790 3.0000
824408 6.2380 3.0000
54930 3.0990 3.0000
148616 5.9170 3.0000
75548 1.5290 3.0000
135504 8.2730 3.0000
1029324 40.3360 3.0000
320056 5.0250 3.0000
409170 4.3090 3.0000
867244 17.0060 3.4594
34424 1.7740 3.4594
1181488 5.7910 3.4594
39362 4.1790 3.4594
417122 5.6520 3.4594
122270 2.0940 3.4594
1442816 11.6560 3.4594
29882 3.9500 3.4594
1155368 6.7350 3.4594
1405598 6.9660 3.4594
400746 11.2800 3.4594
1249986 21.4850 3.4594
653666 10.4780 3.4594
378024 18.9450 3.4594
2619806 17.2880 3.4594
